Entity,Code,Year,Solar Capacity
Denmark,DNK,2001,0.001
Denmark,DNK,2002,0.002
Denmark,DNK,2003,0.002
Denmark,DNK,2004,0.002
Denmark,DNK,2005,0.003
Denmark,DNK,2006,0.003
Denmark,DNK,2007,0.003
Denmark,DNK,2008,0.003
Denmark,DNK,2009,0.005
Denmark,DNK,2010,0.007
Denmark,DNK,2011,0.017
Denmark,DNK,2012,0.402
Denmark,DNK,2013,0.571
Denmark,DNK,2014,0.607
Denmark,DNK,2015,0.782108
Denmark,DNK,2016,0.850953
Denmark,DNK,2017,0.90635
Denmark,DNK,2018,0.998
Denmark,DNK,2019,1.08
Denmark,DNK,2020,1.3
Egypt,EGY,1996,0.0001
Egypt,EGY,1997,0.0001
Egypt,EGY,1998,0.0001
Egypt,EGY,1999,0.0001
Egypt,EGY,2000,0.0001
Egypt,EGY,2001,0.0005
Egypt,EGY,2002,0.0006
Egypt,EGY,2003,0.0006
Egypt,EGY,2004,0.0006
Egypt,EGY,2005,0.0006
Egypt,EGY,2006,0.0006
Egypt,EGY,2007,0.0007
Egypt,EGY,2008,0.0009
Egypt,EGY,2009,0.0013
Egypt,EGY,2010,0.015
Egypt,EGY,2011,0.015
Egypt,EGY,2012,0.035
Egypt,EGY,2013,0.015
Egypt,EGY,2014,0.015
Egypt,EGY,2015,0.025
Egypt,EGY,2016,0.039
Egypt,EGY,2017,0.16
Egypt,EGY,2018,0.7442
Egypt,EGY,2019,1.6412
Egypt,EGY,2020,1.673
Europe,,1996,0.0669
Europe,,1997,0.0873
Europe,,1998,0.1054
Europe,,1999,0.1315
Europe,,2000,0.2002
Europe,,2001,0.30066
Europe,,2002,0.386593
Europe,,2003,0.62577
Europe,,2004,1.337861
Europe,,2005,2.31846
Europe,,2006,3.269973
Europe,,2007,5.043266
Europe,,2008,10.46186
Europe,,2009,16.840442
Europe,,2010,30.124855
Europe,,2011,53.571649
Europe,,2012,71.7277
Europe,,2013,81.878
Europe,,2014,88.82
Europe,,2015,97.549
Europe,,2016,104.696
Europe,,2017,113.478
Europe,,2018,124.404
Europe,,2019,146.315
Europe,,2020,167.812
France,FRA,1996,0.004
France,FRA,1997,0.006
France,FRA,1998,0.008
France,FRA,1999,0.009
France,FRA,2000,0.007
France,FRA,2001,0.007
France,FRA,2002,0.008
France,FRA,2003,0.009
France,FRA,2004,0.011
France,FRA,2005,0.013
France,FRA,2006,0.015
France,FRA,2007,0.026
France,FRA,2008,0.08
France,FRA,2009,0.277
France,FRA,2010,1.044
France,FRA,2011,3.0036
France,FRA,2012,4.3588
France,FRA,2013,5.2773
France,FRA,2014,6.034417
France,FRA,2015,7.137517
France,FRA,2016,7.702081
France,FRA,2017,8.610437
France,FRA,2018,9.691
France,FRA,2019,10.795
France,FRA,2020,11.724
Germany,DEU,1996,0.028
Germany,DEU,1997,0.042
Germany,DEU,1998,0.054
Germany,DEU,1999,0.07
Germany,DEU,2000,0.114
Germany,DEU,2001,0.195
Germany,DEU,2002,0.26
Germany,DEU,2003,0.435
Germany,DEU,2004,1.105
Germany,DEU,2005,2.056
Germany,DEU,2006,2.899
Germany,DEU,2007,4.17
Germany,DEU,2008,6.12
Germany,DEU,2009,10.567
Germany,DEU,2010,18.007
Germany,DEU,2011,25.914
Germany,DEU,2012,34.075
Germany,DEU,2013,36.708
Germany,DEU,2014,37.898
Germany,DEU,2015,39.222
Germany,DEU,2016,40.677
Germany,DEU,2017,42.291
Germany,DEU,2018,45.156
Germany,DEU,2019,49.045
Germany,DEU,2020,53.781
Greece,GRC,1996,0
Greece,GRC,1997,0
Greece,GRC,1998,0
Greece,GRC,1999,0
Greece,GRC,2000,0
Greece,GRC,2001,0.001
Greece,GRC,2002,0.001
Greece,GRC,2003,0.001
Greece,GRC,2004,0.001
Greece,GRC,2005,0.001
Greece,GRC,2006,0.005
Greece,GRC,2007,0.009
Greece,GRC,2008,0.012
Greece,GRC,2009,0.046
Greece,GRC,2010,0.202
Greece,GRC,2011,0.612
Greece,GRC,2012,1.536
Greece,GRC,2013,2.579
Greece,GRC,2014,2.596
Greece,GRC,2015,2.604
Greece,GRC,2016,2.604
Greece,GRC,2017,2.60553
Greece,GRC,2018,2.65157
Greece,GRC,2019,2.834
Greece,GRC,2020,3.247
Honduras,HND,1996,0
Honduras,HND,1997,0
Honduras,HND,1998,0
Honduras,HND,1999,0.001
Honduras,HND,2000,0.0016
Honduras,HND,2001,0.0018
Honduras,HND,2002,0.002
Honduras,HND,2003,0.0021
Honduras,HND,2004,0.0024
Honduras,HND,2005,0.0027
Honduras,HND,2006,0.0029
Honduras,HND,2007,0.0032
Honduras,HND,2008,0.0032
Honduras,HND,2009,0.0035
Honduras,HND,2010,0.0037
Honduras,HND,2011,0.0045
Honduras,HND,2012,0.0052
Honduras,HND,2013,0.0052
Honduras,HND,2014,0.005156
Honduras,HND,2015,0.393156
Honduras,HND,2016,0.414156
Honduras,HND,2017,0.453786
Honduras,HND,2018,0.514
Honduras,HND,2019,0.514
Honduras,HND,2020,0.514
Hungary,HUN,1996,0
Hungary,HUN,1997,0
Hungary,HUN,1998,0
Hungary,HUN,1999,0
Hungary,HUN,2000,0
Hungary,HUN,2001,0
Hungary,HUN,2002,0
Hungary,HUN,2003,0
Hungary,HUN,2004,0
Hungary,HUN,2005,0
Hungary,HUN,2006,0
Hungary,HUN,2007,0
Hungary,HUN,2008,0.001
Hungary,HUN,2009,0.001
Hungary,HUN,2010,0.002
Hungary,HUN,2011,0.004
Hungary,HUN,2012,0.012
Hungary,HUN,2013,0.035
Hungary,HUN,2014,0.089
Hungary,HUN,2015,0.172
Hungary,HUN,2016,0.235
Hungary,HUN,2017,0.344
Hungary,HUN,2018,0.728
Hungary,HUN,2019,1.4
Hungary,HUN,2020,1.953
India,IND,1996,0
India,IND,1997,0
India,IND,1998,0
India,IND,1999,0
India,IND,2000,0.001084
India,IND,2001,0.005535
India,IND,2002,0.006705
India,IND,2003,0.007885
India,IND,2004,0.00781
India,IND,2005,0.011567
India,IND,2006,0.009603
India,IND,2007,0.025099
India,IND,2008,0.027723
India,IND,2009,0.039362
India,IND,2010,0.065362
India,IND,2011,0.563315
India,IND,2012,0.979
India,IND,2013,1.445827
India,IND,2014,3.444008
India,IND,2015,5.364984
India,IND,2016,9.650521
India,IND,2017,17.923256
India,IND,2018,27.124598
India,IND,2019,34.860908
India,IND,2020,38.983
Israel,ISR,1996,0
Israel,ISR,1997,0.0003
Israel,ISR,1998,0.0003
Israel,ISR,1999,0.0004
Israel,ISR,2000,0
Israel,ISR,2001,0
Israel,ISR,2002,0
Israel,ISR,2003,0
Israel,ISR,2004,0
Israel,ISR,2005,0.001
Israel,ISR,2006,0.0013
Israel,ISR,2007,0.0018
Israel,ISR,2008,0.003
Israel,ISR,2009,0.0245
Israel,ISR,2010,0.0699
Israel,ISR,2011,0.1897
Israel,ISR,2012,0.2428
Israel,ISR,2013,0.42
Israel,ISR,2014,0.67
Israel,ISR,2015,0.76575
Israel,ISR,2016,0.866
Israel,ISR,2017,0.969
Israel,ISR,2018,1.07
Israel,ISR,2019,1.19
Israel,ISR,2020,1.19
Italy,ITA,1996,0.016
Italy,ITA,1997,0.017
Italy,ITA,1998,0.018
Italy,ITA,1999,0.018
Italy,ITA,2000,0.019
Italy,ITA,2001,0.02
Italy,ITA,2002,0.022
Italy,ITA,2003,0.026
Italy,ITA,2004,0.031
Italy,ITA,2005,0.034
Italy,ITA,2006,0.045
Italy,ITA,2007,0.11
Italy,ITA,2008,0.483
Italy,ITA,2009,1.264
Italy,ITA,2010,3.5967
Italy,ITA,2011,13.131
Italy,ITA,2012,16.785
Italy,ITA,2013,18.185
Italy,ITA,2014,18.594
Italy,ITA,2015,18.901
Italy,ITA,2016,19.283
Italy,ITA,2017,19.682
Italy,ITA,2018,20.108
Italy,ITA,2019,20.865
Italy,ITA,2020,21.594
Japan,JPN,1996,0.06
Japan,JPN,1997,0.091
Japan,JPN,1998,0.133
Japan,JPN,1999,0.209
Japan,JPN,2000,0.33
Japan,JPN,2001,0.453
Japan,JPN,2002,0.637
Japan,JPN,2003,0.86
Japan,JPN,2004,1.132
Japan,JPN,2005,1.421
Japan,JPN,2006,1.7
Japan,JPN,2007,1.909
Japan,JPN,2008,2.131
Japan,JPN,2009,2.611
Japan,JPN,2010,3.599
Japan,JPN,2011,4.89
Japan,JPN,2012,6.43
Japan,JPN,2013,12.107
Japan,JPN,2014,19.334
Japan,JPN,2015,28.615
Japan,JPN,2016,38.438
Japan,JPN,2017,44.226
Japan,JPN,2018,55.5
Japan,JPN,2019,61.526
Japan,JPN,2020,67
Jordan,JOR,1996,0
Jordan,JOR,1997,0
Jordan,JOR,1998,0
Jordan,JOR,1999,0
Jordan,JOR,2000,0
Jordan,JOR,2001,0
Jordan,JOR,2002,0
Jordan,JOR,2003,0
Jordan,JOR,2004,0
Jordan,JOR,2005,0
Jordan,JOR,2006,0
Jordan,JOR,2007,0
Jordan,JOR,2008,0
Jordan,JOR,2009,0
Jordan,JOR,2010,0
Jordan,JOR,2011,0
Jordan,JOR,2012,0.0001
Jordan,JOR,2013,0.0001
Jordan,JOR,2014,0.000221
Jordan,JOR,2015,0.006
Jordan,JOR,2016,0.296
Jordan,JOR,2017,0.406
Jordan,JOR,2018,0.809
Jordan,JOR,2019,1.101
Jordan,JOR,2020,1.359
Malaysia,MYS,1996,0
Malaysia,MYS,1997,0
Malaysia,MYS,1998,0
Malaysia,MYS,1999,0
Malaysia,MYS,2000,0
Malaysia,MYS,2001,0
Malaysia,MYS,2002,0
Malaysia,MYS,2003,0
Malaysia,MYS,2004,0
Malaysia,MYS,2005,0
Malaysia,MYS,2006,0
Malaysia,MYS,2007,0.00045
Malaysia,MYS,2008,0.00054
Malaysia,MYS,2009,0.00054
Malaysia,MYS,2010,0.000544
Malaysia,MYS,2011,0.000544
Malaysia,MYS,2012,0.025104
Malaysia,MYS,2013,0.097124
Malaysia,MYS,2014,0.165778
Malaysia,MYS,2015,0.229095
Malaysia,MYS,2016,0.278798
Malaysia,MYS,2017,0.370068
Malaysia,MYS,2018,0.536015
Malaysia,MYS,2019,0.882015
Malaysia,MYS,2020,1.493
Mexico,MEX,1996,0.01
Mexico,MEX,1997,0.011
Mexico,MEX,1998,0.012
Mexico,MEX,1999,0.013
Mexico,MEX,2000,0.014
Mexico,MEX,2001,0.015
Mexico,MEX,2002,0.016
Mexico,MEX,2003,0.016
Mexico,MEX,2004,0.016
Mexico,MEX,2005,0.016
Mexico,MEX,2006,0.016
Mexico,MEX,2007,0.019
Mexico,MEX,2008,0.019
Mexico,MEX,2009,0.025
Mexico,MEX,2010,0.029
Mexico,MEX,2011,0.039
Mexico,MEX,2012,0.06
Mexico,MEX,2013,0.082
Mexico,MEX,2014,0.116
Mexico,MEX,2015,0.173
Mexico,MEX,2016,0.3886
Mexico,MEX,2017,0.67374
Mexico,MEX,2018,2.541
Mexico,MEX,2019,4.426
Mexico,MEX,2020,5.63
Middle East,,1996,0
Middle East,,1997,0.0003
Middle East,,1998,0.0003
Middle East,,1999,0.0004
Middle East,,2000,0.0004
Middle East,,2001,0.0004
Middle East,,2002,0.0004
Middle East,,2003,0.0004
Middle East,,2004,0.0004
Middle East,,2005,0.0014
Middle East,,2006,0.0017
Middle East,,2007,0.0023
Middle East,,2008,0.0104
Middle East,,2009,0.0422
Middle East,,2010,0.0909
Middle East,,2011,0.209
Middle East,,2012,0.268
Middle East,,2013,0.507
Middle East,,2014,0.798
Middle East,,2015,0.972
Middle East,,2016,1.479
Middle East,,2017,2.11
Middle East,,2018,3.333
Middle East,,2019,5.484
Middle East,,2020,6.52
Morocco,MAR,1996,0
Morocco,MAR,1997,0
Morocco,MAR,1998,0
Morocco,MAR,1999,0
Morocco,MAR,2000,0.0067
Morocco,MAR,2001,0.007
Morocco,MAR,2002,0.0077
Morocco,MAR,2003,0.0084
Morocco,MAR,2004,0.0091
Morocco,MAR,2005,0.01
Morocco,MAR,2006,0.0108
Morocco,MAR,2007,0.011945
Morocco,MAR,2008,0.012845
Morocco,MAR,2009,0.013445
Morocco,MAR,2010,0.013545
Morocco,MAR,2011,0.014174
Morocco,MAR,2012,0.035174
Morocco,MAR,2013,0.015174
Morocco,MAR,2014,0.0196
Morocco,MAR,2015,0.0198
Morocco,MAR,2016,0.02187
Morocco,MAR,2017,0.023895
Morocco,MAR,2018,0.203895
Morocco,MAR,2019,0.204083
Morocco,MAR,2020,0.204
Netherlands,NLD,1996,0.0007
Netherlands,NLD,1997,0.001
Netherlands,NLD,1998,0.001
Netherlands,NLD,1999,0.005
Netherlands,NLD,2000,0.013
Netherlands,NLD,2001,0.021
Netherlands,NLD,2002,0.026
Netherlands,NLD,2003,0.046
Netherlands,NLD,2004,0.05
Netherlands,NLD,2005,0.051
Netherlands,NLD,2006,0.053
Netherlands,NLD,2007,0.054
Netherlands,NLD,2008,0.059
Netherlands,NLD,2009,0.069
Netherlands,NLD,2010,0.09
Netherlands,NLD,2011,0.149
Netherlands,NLD,2012,0.287
Netherlands,NLD,2013,0.65
Netherlands,NLD,2014,1.007
Netherlands,NLD,2015,1.526
Netherlands,NLD,2016,2.135
Netherlands,NLD,2017,2.911
Netherlands,NLD,2018,4.608
Netherlands,NLD,2019,7.177
Netherlands,NLD,2020,10.213
North America,,1996,0.0269
North America,,1997,0.0286
North America,,1998,0.0322
North America,,1999,0.0356
North America,,2000,0.0395
North America,,2001,0.0459
North America,,2002,0.054
North America,,2003,0.101
North America,,2004,0.141
North America,,2005,0.223
North America,,2006,0.332
North America,,2007,0.5
North America,,2008,0.805
North America,,2009,1.308
North America,,2010,2.29
North America,,2011,5.708
North America,,2012,8.963
North America,,2013,13.051
North America,,2014,17.943
North America,,2015,24.374
North America,,2016,36.0076
North America,,2017,44.94374
North America,,2018,57.067
North America,,2019,66.66
North America,,2020,82.769
Other Africa,,1996,0.001012425219
Other Africa,,1997,0.001037275656
Other Africa,,1998,0.001062126093
Other Africa,,1999,0.002099401749
Other Africa,,2000,0.004127
Other Africa,,2001,0.005529
Other Africa,,2002,0.006943
Other Africa,,2003,0.009019
Other Africa,,2004,0.012296
Other Africa,,2005,0.015365
Other Africa,,2006,0.022868
Other Africa,,2007,0.034011
Other Africa,,2008,0.049622
Other Africa,,2009,0.092093
Other Africa,,2010,0.163321
Other Africa,,2011,0.23152
Other Africa,,2012,0.241875
Other Africa,,2013,0.367988
Other Africa,,2014,0.466267
Other Africa,,2015,0.585902
Other Africa,,2016,0.720236
Other Africa,,2017,0.960802
Other Africa,,2018,1.324137
Other Africa,,2019,1.603267
Other Africa,,2020,1.715
Other Asia Pacific,,1996,0
Other Asia Pacific,,1997,0
Other Asia Pacific,,1998,0.001
Other Asia Pacific,,1999,0.002
Other Asia Pacific,,2000,0.001161
Other Asia Pacific,,2001,0.002662
Other Asia Pacific,,2002,0.004298
Other Asia Pacific,,2003,0.007428
Other Asia Pacific,,2004,0.009323
Other Asia Pacific,,2005,0.012453
Other Asia Pacific,,2006,0.031776
Other Asia Pacific,,2007,0.029528
Other Asia Pacific,,2008,0.088794
Other Asia Pacific,,2009,0.29622
Other Asia Pacific,,2010,0.788801
Other Asia Pacific,,2011,0.095398
Other Asia Pacific,,2012,0.201521
Other Asia Pacific,,2013,0.210208
Other Asia Pacific,,2014,0.277991
Other Asia Pacific,,2015,0.447885
Other Asia Pacific,,2016,0.577347
Other Asia Pacific,,2017,0.824013
Other Asia Pacific,,2018,0.934215
Other Asia Pacific,,2019,1.369453
Other Asia Pacific,,2020,1.984
Other CIS,,1996,0
Other CIS,,1997,0
Other CIS,,1998,0
Other CIS,,1999,0
Other CIS,,2000,0
Other CIS,,2001,0
Other CIS,,2002,0
Other CIS,,2003,0
Other CIS,,2004,0
Other CIS,,2005,0.000063
Other CIS,,2006,0.000142
Other CIS,,2007,0.000739
Other CIS,,2008,0.001124
Other CIS,,2009,0.001322
Other CIS,,2010,0.002589
Other CIS,,2011,0.004
Other CIS,,2012,0.006
Other CIS,,2013,0.017
Other CIS,,2014,0.077
Other CIS,,2015,0.145
Other CIS,,2016,0.16
Other CIS,,2017,0.18
Other CIS,,2018,0.511
Other CIS,,2019,1.205
Other CIS,,2020,1.819
Other Europe,,1996,0.0049
Other Europe,,1997,0.0052
Other Europe,,1998,0.0054
Other Europe,,1999,0.006
Other Europe,,2000,0.009
Other Europe,,2001,0.01026
Other Europe,,2002,0.011793
Other Europe,,2003,0.02547
Other Europe,,2004,0.036961
Other Europe,,2005,0.03746
Other Europe,,2006,0.040073
Other Europe,,2007,0.041066
Other Europe,,2008,0.04496
Other Europe,,2009,0.051742
Other Europe,,2010,0.082155
Other Europe,,2011,0.615949
Other Europe,,2012,0.31099
Other Europe,,2013,0.475507
Other Europe,,2014,0.627487
Other Europe,,2015,0.724481
Other Europe,,2016,0.853103
Other Europe,,2017,1.110551
Other Europe,,2018,1.280015
Other Europe,,2019,1.662053
Other Europe,,2020,2.096
Other Middle East,,1996,0
Other Middle East,,1997,0
Other Middle East,,1998,0
Other Middle East,,1999,0
Other Middle East,,2000,0.0004
Other Middle East,,2001,0.0004
Other Middle East,,2002,0.0004
Other Middle East,,2003,0.0004
Other Middle East,,2004,0.0004
